status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,exit_price,balance_after_trade
completed,AIAUSDT,long,2025-10-21 17:30:00,1.3858,2.0,5.0,1.413516,1.3165099999999998,16.0,False,no_entry,0.0,0.0,,0.0,False,0,,
completed,BANUSDT,long,2025-10-21 17:30:00,0.07043,2.0,5.0,0.0718386,0.06690850000000001,16.0,True,win,0.9999999999999971,1.9999999999999942,2025-10-21 19:06:00,55.0,False,1,0.0718386,1001.0
completed,TRUUSDT,short,2025-10-21 17:30:00,0.01981,2.0,5.0,0.019413800000000002,0.020800500000000003,16.0,True,win,0.9999999999999983,1.9999999999999967,2025-10-21 22:28:00,299.0,False,2,0.019413800000000002,1002.0
completed,LIGHTUSDT,long,2025-10-21 17:30:00,2.1674,2.0,5.0,2.210748,2.05903,16.0,True,loss,-2.5000000000000067,-5.000000000000013,2025-10-21 17:31:00,2.0,False,3,2.05903,999.5
completed,NOMUSDT,long,2025-10-21 17:30:00,0.02188,2.0,5.0,0.0223176,0.020786,16.0,True,expired,-0.6627056250515545,-1.325411250103109,2025-10-22 01:00:00,39.0,False,4,0.02159000001847744,998.8372943749484
completed,IDOLUSDT,long,2025-10-21 17:30:00,0.03196,2.0,5.0,0.0325992,0.030362,16.0,True,win,0.9999999999999991,1.9999999999999982,2025-10-21 18:50:00,81.0,False,5,0.0325992,999.8372943749484
completed,FFUSDT,long,2025-10-21 17:30:00,0.14708,2.0,5.0,0.15002159999999998,0.139726,16.0,False,no_entry,0.0,0.0,,0.0,False,6,,
completed,BTRUSDT,long,2025-10-21 21:30:00,0.08151,2.0,5.0,0.0831402,0.07743449999999999,16.0,True,loss,-2.500000000000006,-5.000000000000012,2025-10-21 21:31:00,2.0,False,7,0.07743449999999999,997.3372943749484
completed,ZORAUSDT,long,2025-10-21 21:30:00,0.10983,2.0,5.0,0.1120266,0.10433849999999999,16.0,True,loss,-2.5000000000000044,-5.000000000000009,2025-10-21 21:31:00,2.0,False,8,0.10433849999999999,994.8372943749484
completed,ARCUSDT,long,2025-10-21 21:30:00,0.01413,2.0,5.0,0.014412600000000001,0.0134235,16.0,True,loss,-2.5000000000000018,-5.0000000000000036,2025-10-21 21:32:00,3.0,False,9,0.0134235,992.3372943749484
completed,UBUSDT,long,2025-10-21 21:30:00,0.041542,2.0,5.0,0.04237284,0.0394649,16.0,True,loss,-2.500000000000006,-5.000000000000012,2025-10-22 04:06:00,3.0,False,10,0.0394649,989.8372943749484
completed,IDOLUSDT,long,2025-10-22 01:30:00,0.033,2.0,5.0,0.03366,0.03135,16.0,True,loss,-2.4999999999999982,-4.9999999999999964,2025-10-22 01:31:00,2.0,False,11,0.03135,987.3372943749484
completed,PARTIUSDT,long,2025-10-22 01:30:00,0.0884,2.0,5.0,0.09016800000000001,0.08398,16.0,True,loss,-2.500000000000004,-5.000000000000008,2025-10-22 01:31:00,2.0,False,12,0.08398,984.8372943749484
completed,FFUSDT,long,2025-10-22 01:30:00,0.16046,2.0,5.0,0.1636692,0.152437,16.0,True,win,0.9999999999999987,1.9999999999999973,2025-10-22 03:02:00,93.0,False,13,0.1636692,985.8372943749484
completed,TRUTHUSDT,long,2025-10-22 01:30:00,0.015656,2.0,5.0,0.01596912,0.0148732,16.0,True,loss,-2.5000000000000004,-5.000000000000001,2025-10-22 01:32:00,3.0,False,14,0.0148732,983.3372943749484
completed,AIOTUSDT,long,2025-10-22 01:30:00,0.5358,2.0,5.0,0.5465160000000001,0.5090100000000001,16.0,True,loss,-2.4999999999999982,-4.9999999999999964,2025-10-22 01:31:00,2.0,False,15,0.5090100000000001,980.8372943749484
