symbol,date,time,side,entry,stop_loss,tp1,tp2,tp3,tp4
IDOLUSDT,2025-12-18,21:30,short,0.02731,0.028266,0.02701,0.026627,0.026218,0.025671
CHILLGUYUSDT,2025-12-18,21:30,short,0.01755,0.018164,0.017357,0.017111,0.016848,0.016497
SPXUSDT,2025-12-18,21:30,short,0.4978,0.515223,0.492324,0.485355,0.477888,0.467932
GOATUSDT,2025-12-18,21:30,short,0.03343,0.0346,0.033062,0.032594,0.032093,0.031424
BRETTUSDT,2025-12-18,21:30,short,0.01487,0.01539,0.014706,0.014498,0.014275,0.013978
BONKUSDT,2025-12-18,21:30,short,0.008309,0.0086,0.008218,0.008101,0.007977,0.00781
ZORAUSDT,2025-12-18,21:30,short,0.04466,0.046223,0.044169,0.043543,0.042874,0.04198
EVAAUSDT,2025-12-18,21:30,short,0.68,0.7038,0.67252,0.663,0.6528,0.6392
VINEUSDT,2025-12-18,21:30,short,0.02824,0.029228,0.027929,0.027534,0.02711,0.026546
KERNELUSDT,2025-12-18,21:30,short,0.0609,0.063032,0.06023,0.059377,0.058464,0.057246
FARTCOINUSDT,2025-12-18,21:30,short,0.2828,0.292698,0.279689,0.27573,0.271488,0.265832
POPCATUSDT,2025-12-18,21:30,short,0.0861,0.089113,0.085153,0.083947,0.082656,0.080934
STBLUSDT,2025-12-18,21:30,short,0.03881,0.040168,0.038383,0.03784,0.037258,0.036481
PENGUUSDT,2025-12-18,21:30,short,0.009465,0.009796,0.009361,0.009228,0.009086,0.008897
CYSUSDT,2025-12-18,21:30,long,0.2658,0.256497,0.268724,0.272445,0.276432,0.281748
ICNTUSDT,2025-12-18,21:30,long,0.4715,0.454997,0.476686,0.483287,0.49036,0.49979
GOATUSDT,2025-12-16,05:30,short,0.03525,0.036484,0.034862,0.034369,0.03384,0.033135
NOMUSDT,2025-12-16,05:30,short,0.00735,0.007607,0.007269,0.007166,0.007056,0.006909
MOGUSDT,2025-12-16,05:30,short,0.2434,0.251919,0.240723,0.237315,0.233664,0.228796
PTBUSDT,2025-12-16,05:30,long,0.003127,0.003018,0.003161,0.003205,0.003252,0.003315
AGTUSDT,2025-12-16,05:30,long,0.003648,0.00352,0.003688,0.003739,0.003794,0.003867
KERNELUSDT,2025-12-16,05:30,short,0.06399,0.06623,0.063286,0.06239,0.06143,0.060151
UAIUSDT,2025-12-16,05:30,short,0.1559,0.161356,0.154185,0.152003,0.149664,0.146546
MYXUSDT,2025-12-16,05:30,long,3.595,3.469175,3.634545,3.684875,3.7388,3.8107
COMMONUSDT,2025-12-16,05:30,short,0.003639,0.003766,0.003599,0.003548,0.003493,0.003421
ZEREBROUSDT,2025-12-16,05:30,short,0.02832,0.029311,0.028008,0.027612,0.027187,0.026621
PARTIUSDT,2025-12-16,05:30,long,0.10418,0.100534,0.105326,0.106784,0.108347,0.110431
FOLKSUSDT,2025-12-16,05:30,short,21.286,22.03101,21.051854,20.75385,20.43456,20.00884
JELLYJELLYUSDT,2025-12-16,05:30,long,0.0963,0.092929,0.097359,0.098707,0.100152,0.102078
AVAAIUSDT,2025-12-16,05:30,long,0.00949,0.009158,0.009594,0.009727,0.00987,0.010059
PIPPINUSDT,2025-12-16,05:30,long,0.42715,0.4122,0.431849,0.437829,0.444236,0.452779
TRUSTUSDT,2025-12-15,09:30,short,0.1119,0.115816,0.110669,0.109102,0.107424,0.105186
UAIUSDT,2025-12-15,09:30,long,0.2041,0.196957,0.206345,0.209202,0.212264,0.216346
AVAAIUSDT,2025-12-15,09:30,short,0.00968,0.010019,0.009574,0.009438,0.009293,0.009099
BANUSDT,2025-12-15,09:30,long,0.06909,0.066672,0.06985,0.070817,0.071854,0.073235
BASUSDT,2025-12-15,09:30,long,0.007617,0.00735,0.007701,0.007807,0.007922,0.008074
AIOUSDT,2025-12-15,09:30,long,0.09499,0.091665,0.096035,0.097365,0.09879,0.100689
ARCUSDT,2025-12-15,09:30,long,0.03382,0.032636,0.034192,0.034666,0.035173,0.035849
RIVERUSDT,2025-12-15,09:30,short,5.507,5.699745,5.446423,5.369325,5.28672,5.17658
XPINUSDT,2025-12-12,05:30,short,0.001871,0.001936,0.00185,0.001824,0.001796,0.001759
KERNELUSDT,2025-12-12,05:30,short,0.0759,0.078556,0.075065,0.074002,0.072864,0.071346
DOLOUSDT,2025-12-12,05:30,short,0.04005,0.041452,0.039609,0.039049,0.038448,0.037647
BIOUSDT,2025-12-12,05:30,short,0.04951,0.051243,0.048965,0.048272,0.04753,0.046539
AEVOUSDT,2025-12-12,05:30,short,0.0436,0.045126,0.04312,0.04251,0.041856,0.040984
UAIUSDT,2025-12-12,05:30,long,0.147,0.141855,0.148617,0.150675,0.15288,0.15582
SQDUSDT,2025-12-12,05:30,short,0.04525,0.046834,0.044752,0.044119,0.04344,0.042535
ZORAUSDT,2025-12-12,05:30,long,0.05203,0.050209,0.052602,0.053331,0.054111,0.055152
